Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0/0   192.168.30.1    YES NVRAM  up                    up      
GigabitEthernet0/0/1   unassigned      YES NVRAM  up                    up      
GigabitEthernet0/0/1.1 10.102.30.254   YES NVRAM  up                    up      
GigabitEthernet0/0/1.2 10.102.40.2     YES NVRAM  up                    up      
GigabitEthernet0/0/1.3 192.168.1.253   YES NVRAM  up                    up      
GigabitEthernet0/0/1.4 10.102.90.1     YES NVRAM  up                    up      
GigabitEthernet0/0/1.5 192.168.5.254   YES NVRAM  up                    up      
GigabitEthernet0/0/1.6 192.168.6.1     YES NVRAM  up                    up      
Gi0/0/1.100            192.168.2.254   YES NVRAM  up                    up      
GigabitEthernet0/1/0   192.168.40.1    YES NVRAM  up                    up      
GigabitEthernet0/1/1   unassigned      YES NVRAM  administratively down down    
GigabitEthernet0       unassigned      YES NVRAM  down                  down    
Vlan1                  unassigned      YES NVRAM  up                    down
